City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,vadso,70.0744,29.7487,4.09,75,75,7.2,NO,1728578246
262,buritis,-15.6178,-46.4233,36.47,29,54,1.69,BR,1728578247
263,punta arenas,-53.15,-70.9167,7.06,81,40,8.75,CL,1728578248
264,saint-philippe,-21.3585,55.7679,21.64,80,80,4.98,RE,1728578249
265,chom thong,18.4174,98.6743,23.13,95,100,0.84,TH,1728578250
266,saint-pierre,-21.3393,55.4781,21.82,73,0,9.77,RE,1728578251
267,sechura,-5.5569,-80.8222,25.15,57,58,4.93,PE,1728577961
268,rabaul,-4.1967,152.1721,25.95,83,70,2.05,PG,1728578254
269,sisimiut,66.9395,-53.6735,3.87,66,7,1.97,GL,1728578255
270,ma'an,26.9775,110.7211,18.51,59,27,0.33,CN,1728578256
271,lorengau,-2.0226,147.2712,27.56,78,89,2.6,PG,1728578257
272,san,13.3034,-4.8956,34.09,44,70,1.21,ML,1728578258
273,salalah,17.0151,54.0924,27.05,78,40,2.06,OM,1728578259
274,afaahiti,-17.75,-149.2833,22.49,90,100,8.55,PF,1728578260
275,hamilton,39.1834,-84.5333,20.42,44,0,3.09,US,1728578244
276,chonchi,-42.6128,-73.8092,11.73,98,100,1.13,CL,1728578262
277,puerto deseado,-47.7503,-65.8938,14.2,27,92,6.34,AR,1728578264
278,basoko,1.2391,23.616,24.86,78,81,0.23,CD,1728578265
279,menongue,-14.6585,17.691,27.15,11,26,2.41,AO,1728578266
280,ubatuba,-23.4339,-45.0711,19.45,94,100,3.29,BR,1728578267
281,quellon,-43.1167,-73.6167,8.18,92,100,1.38,CL,1728578268
282,hadibu,12.65,54.0333,26.31,77,16,0.56,YE,1728578269
283,vrangel',42.7297,133.0839,12.71,84,43,3.47,RU,1728578270
284,cheyenne,41.14,-104.8203,22.91,22,0,7.72,US,1728577984
285,tyukhtet,56.5389,89.3011,-3.14,69,93,1.48,RU,1728578272
286,arba minch,6.0333,37.55,20.48,74,45,1.61,ET,1728578273
287,kintampo,8.0563,-1.7306,26.96,82,40,1.57,GH,1728578275
288,tralee,52.2704,-9.7026,11.14,58,40,4.12,IE,1728578277
289,kerikeri,-35.2268,173.9474,9.95,87,99,1.34,NZ,1728578278
290,edd,13.9297,41.6925,30.94,67,0,0.42,ER,1728578279
291,carauari,-4.8828,-66.8958,35.4,41,92,1.76,BR,1728578280
292,luanda,-8.8368,13.2343,27.0,74,40,5.66,AO,1728577846
293,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1728578282
294,kalmunai,7.4167,81.8167,26.21,84,63,2.13,LK,1728578283
295,nova olimpia,-14.7972,-57.2881,38.81,24,41,2.81,BR,1728578286
296,vilyuysk,63.7553,121.6247,-8.85,98,95,1.32,RU,1728578287
297,kaedi,16.1465,-13.5047,33.35,39,100,4.01,MR,1728578288
298,aras-asan,8.8908,126.3033,25.64,88,84,1.94,PH,1728578290
299,kamaishi,39.2667,141.8833,12.79,90,83,3.36,JP,1728578291
300,praia da vitoria,38.7333,-27.0667,23.14,73,40,13.04,PT,1728578292
301,codrington,-38.2667,141.9667,6.04,88,10,3.16,AU,1728578293
302,sikonge,-5.6333,32.7667,24.52,48,85,2.59,TZ,1728578294
303,severo-yeniseyskiy,60.3725,93.0408,-8.27,95,100,2.27,RU,1728578296
304,aioun,16.6614,-9.6149,36.57,29,99,2.94,MR,1728578297
305,sacaba,20.5833,-89.9833,31.33,47,94,2.57,MX,1728578298
306,iskateley,67.6803,53.1512,-2.66,83,8,6.1,RU,1728578299
307,plettenberg bay,-34.0527,23.3716,15.78,78,100,3.4,ZA,1728578300
308,udachny,66.4167,112.4,-14.38,100,91,1.06,RU,1728578301
309,klyuchi,52.2667,79.1667,7.31,43,100,6.79,RU,1728578302
310,fisterra,42.9049,-9.2629,16.72,81,7,2.21,ES,1728578303
311,chiplun,17.5333,73.5167,24.62,98,100,1.15,IN,1728578304
312,umm kaddadah,13.6017,26.6876,34.36,28,70,3.44,SD,1728578305
313,soe,-9.8607,124.284,19.57,84,74,1.79,ID,1728578307
314,daru,-9.0763,143.2092,26.01,90,97,7.52,PG,1728578308
315,grand-lahou,5.1367,-5.0242,26.71,80,97,4.14,CI,1728578309
316,dwarka,22.2394,68.9678,28.31,65,13,5.67,IN,1728578310
317,carbonear,47.7332,-53.2148,14.57,88,100,2.04,CA,1728578311
318,broken hill,-31.95,141.4333,12.58,51,86,8.25,AU,1728578312
319,kill devil hills,36.0307,-75.676,18.88,60,40,6.69,US,1728578283
320,amasra,41.7463,32.3863,20.57,70,0,1.6,TR,1728578314
321,sale,34.0389,-6.8166,24.38,69,40,2.57,MA,1728578315
322,cloquet,46.7216,-92.4594,16.47,57,0,3.09,US,1728578316
323,marsh harbour,26.5412,-77.0636,28.88,73,100,14.26,BS,1728578317
324,aguilar de campoo,42.7945,-4.2589,12.34,67,92,1.14,ES,1728578319
325,ilebo,-4.3167,20.5833,21.97,94,77,0.37,CD,1728578320
326,mahina,-17.5065,-149.489,23.87,83,0,1.54,PF,1728578321
327,port augusta,-32.5,137.7667,11.79,67,100,7.33,AU,1728578322
328,celestun,20.8667,-90.4,29.07,56,97,4.83,MX,1728578323
329,nieuw amsterdam,5.8833,-55.0833,31.01,66,40,4.12,SR,1728578324
330,nilsia,63.2,28.0833,6.92,96,100,5.64,FI,1728578325
331,marks,51.7111,46.7486,10.16,63,4,4.4,RU,1728578144
332,fellsmere,27.7678,-80.6014,25.57,83,99,2.68,US,1728578327
333,tobelo,1.7284,128.0095,27.87,77,39,2.92,ID,1728578328
334,les cayes,18.2,-73.75,30.2,72,84,5.13,HT,1728578330
335,sligo,54.2697,-8.4694,9.96,66,40,4.12,IE,1728578331
336,freetown,8.484,-13.2299,26.84,81,99,2.94,SL,1728578332
337,kudahuvadhoo,2.6708,72.8944,28.62,80,100,9.44,MV,1728578333
338,tejen,37.3834,60.5054,23.91,27,2,1.88,TM,1728578334
339,amahai,-3.3333,128.9167,25.21,86,100,1.76,ID,1728578335
340,neftegorsk,52.802,51.166,6.59,69,73,6.83,RU,1728578336
341,ankazoabo,-22.2833,44.5167,24.22,56,71,1.38,MG,1728578337
342,tomatlan,19.9333,-105.25,30.31,68,14,0.71,MX,1728578338
343,laguna salada,19.6483,-71.0945,32.68,73,91,0.89,DO,1728578339
344,tura,25.5198,90.2201,22.55,93,8,1.4,IN,1728578340
345,ataq,14.5377,46.8319,25.85,55,11,3.19,YE,1728578342
346,crane,31.3974,-102.3501,29.3,26,0,3.23,US,1728578343
347,kargopol',61.5071,38.9456,3.6,85,100,5.38,RU,1728578344
348,island harbour,50.724,-1.2758,13.29,65,93,1.34,GB,1728578345
349,mhamid,29.82,-5.72,33.14,21,12,3.7,MA,1728578346
